text,label
"J'ai vu ce film en avant première et je peux vous assurer qu'en aucun cas vous ne perdrez votre temps. Bien sur c'est un petit film, une ballade, une paranthèse, mais elle est enchantée. C'est émouvant, drole, cocasse et servit par une pleiade d'excellents acteurs. Que ceux qui ont aimer Versailles..... courent voir un nouvel épisode de cette saga offerte par un amoureux de Versailles.",1
"Gratifié du titre de plus grand western de tous les temps, ma déception fut à la hauteur de l'illustre renommée de ""Rio Bravo"". Si les décors et l'ambiance grand ouest sont à la hauteur, j'ai pris de plein fouet le ravin qui sépare les westerns classiques américains et les spaghettis italiens, ici l'atmosphère est légère, les enjeux faiblards et l'on perd un temps insensé en dialogues futiles et interminables. On a simplement l'impression que le grand Howard Hawks s'est ici entièrement reposé sur les épaules de John Wayne, spécialiste du genre. Pour autant, ça ne suffira pas, Wayne semblant usé et étant en terme de charisme assez loin des Clint Eastwood et Lee Van Cleef pour ne citer qu'eux. L'ensemble parait en outre très désuet et très gentillet pour un western, on attend pendant deux heures que ça décolle en supportant difficilement la romance à l'eau de rose et les costumes laissant clairement à désirer. Quand on sait que ""Assaut"" de Carpenter est un remake officieux de ce ""Rio Bravo"" on était en droit d'en attendre autre chose car même l'aspect huit-clos n'apporte aucunement la tension qui devrait être à son paroxysme ici. Donc en effet, si ce métrage représente ce qui est le fleuron du western classique, je vais simplement me dire que ce genre n'est pas fait pour moi ...",0
"Une vraie oeuvre de realisateur avec un style qui par une mise en scene fragmentee reussit a nous tenir en haleine ou d'autres auraient pu nous perdre. Trois destins qui s'entremelent, qui inter-agissent les uns sur les autres jusqu'a se rejoindre. Un film hautement emotionnel et fort servi par 3 magnifiques acteurs dont Naomi Watts qui a une presence et un investissement incroyables.",1
"Ouverture du film et vous entendez du Moby dans un western... Aie ! Ca fait tâche je tombe de cheval. Passons cela, western familial pas loin d'être sous ambiance film TV, des fusillades surréalistes pour l'époque (1863 quand même), ou Collin Farrell y interprète le grand Jesse James et déboule et roule façon Chow Yun-Fat, why not... Le positif prime sur l'action et son casting (Timothy Dalton, Ali Larter), par contre l'histoire est au rang d'une botte de foin de passage après une bourrasque de vent. Rien de plus à se mettre dans les bottines.",0
"Un classique du film musical/danse des années 80. La magnifique Jennifer Beals inoubliable en Alex Owens, soudeuse sur un chantier, et incroyable danseuse de cabaret. La scène de l'audition finale est juste un pur moment d'anthologie inspirant beaucoup de films et clips musicaux. Les scènes de danse ont nécessité 3 doublures professionnels, Marine Jahan principalement, Sharon Shapiro(vole dans les airs) et Crazy Legs (toupie finale). Le succès de la série ""Fame"" a influencé sur la création de ""Flashdance"". N'oublions pas la B.O mythique de Irene Cara ""what a feeling"",""maniac"" de Michael Sembello... vendu à plus de 20 millions d'exemplaires. Culte et inoubliable.",1
"Cette adaptation d’une excellente pièce de théâtre est une perle d'humour noir au rythme fou, Carry Grant et Peter Loore y sont aussi bons qu’à leur habitude. Mais, l’atout premier vient de son scénario, à la fois intelligent et politiquement incorrect, qui est plein d’excellents rebondissements. Franck Capra nous fait donc une fois de plus plaisir en nous offrant une leçon irrésistible en matière de comédie!",1
"Rien de neuf sous le soleil pour un énième films de fantômes japonnais ! pas mauvais mais tellement moins bon qu'un ""the grudge"" ou un ""Ring"" !",0
"Grand classique de l'animation japonaise, ce polar SF high tech jouit surtout d'un univers sombre et graphiquement superbe. Le scénario est parfois un peu flou mais les scènes d'action ne manquent pas. Un film qu'il faut avoir vu.",1
Un film totalement délirant et impénétrable à jeun. Malheureusement j'ai l'impression qu'il est impénétrable tout court. A réserver aux fans.,0
"Juste hilarant, désopilant. Je dois revoir le film tellement que les gens dans la salle riaient dans la salle et fort. Moi même j'ai pleurer de rire 3 fois, ce retour de bridget est juste énorme. jusqu'au bout on se demande qui est le père, patrick dempsey est génial, marc darcy toujours aussi coincé et une bridget irrésistible (malgrès le temps qui est passé et la chirurgie) son jeu d'actrice est incroyable, elle est juste attachante, drôle et hilarante. Frnachement super film !!!",1
